parameter value samples median_lambda scatter_lambda ode_lambda offset
shells 2048 47 0.34576099 0.15344463 0.22550548 0.12025551
shells 4096 50 0.28271811 0.11077086 0.22550548 0.057212632
shells 8192 46 0.2270806 0.089512948 0.22550548 0.0015751208
bins 128 18 0.23519985 0.062994809 0.22550548 0.0096943706
bins 256 50 0.28271811 0.11077086 0.22550548 0.057212632
bins 512 50 0.39219443 0.13607746 0.22550548 0.16668895
smoothing 6 51 0.47754657 0.17077728 0.22550548 0.25204109
smoothing 12 50 0.28271811 0.11077086 0.22550548 0.057212632
smoothing 24 10 0.21122366 0.061377332 0.22550548 -0.014281818
inner_radius 0.025 49 0.29424083 0.10187305 0.22550548 0.068735343
inner_radius 0.05 50 0.28271811 0.11077086 0.22550548 0.057212632
inner_radius 0.1 48 0.29039093 0.096360724 0.22550548 0.064885448
perturbation_amplitude 4 52 0.35761572 0.125645 0.22550548 0.13211024
perturbation_amplitude 5 50 0.28271811 0.11077086 0.22550548 0.057212632
perturbation_amplitude 6 45 0.24722904 0.11178375 0.22550548 0.021723556
