RADIUS_PC,VELOCITY_KMS,DENSITY_CM3
0.1171875,0,3.0891811
0.3515625,0.56568162,3.1197083
0.5859375,0.84064282,3.2007859
0.8203125,1.1240508,3.3161708
1.0546875,1.3992989,3.4703659
1.2890625,1.6533711,3.6674369
1.5234375,1.8725969,3.910805
1.7578125,2.0427023,4.2022443
1.9921875,2.1515059,4.5403898
2.2265625,2.1933446,4.9192497
2.4609375,2.173142,5.3275623
2.6953125,2.1070843,5.7498677
2.9296875,2.018253,6.1694442
3.1640625,1.9291647,6.5720055
3.3984375,1.8555952,6.9483577
3.6328125,1.8046705,7.2949103
3.8671875,1.7767212,7.6124001
4.1015625,1.7684433,7.90402
4.3359375,1.7754322,8.1739044
4.5703125,1.7935498,8.4262529
4.8046875,1.8194208,8.6649443
5.0390625,1.8505016,8.8934034
5.2734375,1.8850049,9.1145599
5.5078125,1.9217925,9.3308385
5.7421875,1.9602539,9.5441712
5.9765625,2.0001547,9.7560479
6.2109375,2.041447,9.9676174
6.4453125,2.0840525,10.179838
6.6796875,2.1276559,10.393656
6.9140625,2.1715711,10.610169
7.1484375,2.2147615,10.830711
7.3828125,2.2561075,11.056767
7.6171875,2.294991,11.289637
7.8515625,2.3321819,11.5298
8.0859375,2.3708181,11.776077
8.3203125,2.4169708,12.024961
8.5546875,2.4790012,12.270789
8.7890625,2.5650452,12.50754
9.0234375,2.6788086,12.732463
9.2578125,2.8149133,12.950867
9.4921875,2.9551433,13.181253
9.7265625,3.0684676,13.459207
9.9609375,3.1276526,13.832218
10.195312,3.1618298,14.337808
10.429688,3.3337243,15.008117
10.664062,4.0106566,16.028995
10.898437,5.4919572,18.197058
11.132812,8.3875218,23.862346
11.367187,10.15073,35.232691
11.601562,9.095285,50.892163
11.835937,7.7539949,69.488822
12.070312,7.2602124,88.020781
12.304687,6.9821009,107.54124
12.539062,6.7971994,128.43023
12.773437,6.6496325,150.46869
13.007812,6.5141729,173.1368
13.242187,6.3768499,195.68153
13.476562,6.2172416,216.83984
13.710937,5.9980546,234.31922
13.945312,5.6569841,244.19273
14.179687,5.1004006,240.81903
14.414062,4.209059,218.81002
14.648437,2.8945049,178.64676
14.882812,1.3260347,132.75167
