RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
0.01953125,0.023272532,1.7302702,106964.97
0.05859375,0.041912899,1.7315362,106948.09
0.09765625,0.062711113,1.7332472,106880.45
0.13671875,0.08481408,1.7355144,106766.65
0.17578125,0.10744906,1.7383979,106609.16
0.21484375,0.13035391,1.7419263,106409.12
0.25390625,0.15342139,1.746117,106167.2
0.29296875,0.17660113,1.7509835,105883.89
0.33203125,0.1998672,1.7565379,105559.57
0.37109375,0.22320542,1.7627919,105194.6
0.41015625,0.2466077,1.7697578,104789.35
0.44921875,0.27006925,1.7774483,104344.16
0.48828125,0.29358703,1.7858772,103859.41
0.52734375,0.31715897,1.7950593,103335.49
0.56640625,0.34078335,1.8050105,102772.82
0.60546875,0.36445848,1.8157479,102171.83
0.64453125,0.38818242,1.8272898,101533.01
0.68359375,0.41195282,1.839656,100856.86
0.72265625,0.43576671,1.8528674,100143.93
0.76171875,0.45962041,1.8669464,99394.801
0.80078125,0.48350934,1.8819168,98610.09
0.83984375,0.50742797,1.8978038,97790.469
0.87890625,0.53136963,1.9146341,96936.649
0.91796875,0.55532644,1.9324357,96049.394
0.95703125,0.57928919,1.9512381,95129.516
0.99609375,0.60324717,1.9710722,94177.884
1.0351562,0.62718811,1.9919703,93195.423
1.0742188,0.65109804,2.013966,92183.12
1.1132812,0.67496115,2.0370941,91142.023
1.1523438,0.6987597,2.0613906,90073.248
1.1914062,0.7224739,2.0868928,88977.981
1.2304688,0.7460818,2.1136385,87857.477
1.2695312,0.76955922,2.1416666,86713.068
1.3085938,0.79287966,2.1710163,85546.162
1.3476562,0.81601423,2.2017272,84358.247
1.3867188,0.83893166,2.2338387,83150.891
1.4257812,0.86159829,2.2673902,81925.744
1.4648438,0.88397811,2.3024198,80684.537
1.5039062,0.90603285,2.3389649,79429.085
1.5429687,0.92772215,2.3770607,78161.284
1.5820312,0.94900377,2.4167404,76883.107
1.6210937,0.96983384,2.4580339,75596.605
1.6601562,0.99016727,2.5009678,74303.897
1.6992187,1.0099582,2.5455639,73007.169
1.7382812,1.0291604,2.5918389,71708.665
1.7773437,1.0477282,2.6398036,70410.675
1.8164062,1.0656169,2.6894615,69115.529
1.8554687,1.0827837,2.7408087,67825.579
1.8945312,1.0991885,2.7938324,66543.191
1.9335937,1.114795,2.8485104,65270.722
1.9726562,1.1295713,2.9048106,64010.508
2.0117188,1.1434912,2.9626899,62764.845
2.0507812,1.156535,3.0220943,61535.965
2.0898437,1.1686903,3.0829583,60326.019
2.1289062,1.1799528,3.145205,59137.058
2.1679688,1.1903268,3.2087461,57971.009
2.2070312,1.1998256,3.2734829,56829.657
2.2460937,1.208472,3.3393065,55714.629
2.2851562,1.2162975,3.4060994,54627.375
2.3242187,1.2233429,3.4737363,53569.155
2.3632812,1.2296567,3.5420859,52541.03
2.4023437,1.2352952,3.611013,51543.852
2.4414062,1.2403204,3.6803799,50578.263
2.4804687,1.2447997,3.7500487,49644.691
2.5195312,1.2488037,3.8198834,48743.359
2.5585937,1.252405,3.8897518,47874.287
2.5976562,1.2556769,3.9595271,47037.306
2.6367187,1.2586913,4.0290902,46232.069
2.6757812,1.2615182,4.0983302,45458.07
2.7148437,1.2642236,4.1671466,44714.659
2.7539062,1.2668691,4.2354491,44001.062
2.7929687,1.269511,4.3031588,43316.401
2.8320312,1.2721995,4.3702082,42659.714
2.8710937,1.2749785,4.4365409,42029.972
2.9101562,1.2778855,4.5021116,41426.102
2.9492187,1.2809518,4.5668851,40846.999
2.9882812,1.2842025,4.6308362,40291.546
3.0273437,1.2876569,4.693948,39758.624
3.0664062,1.2913292,4.7562118,39247.127
3.1054687,1.2952288,4.8176255,38755.967
3.1445312,1.299361,4.878193,38284.091
3.1835937,1.3037274,4.9379231,37830.477
3.2226562,1.3083268,4.9968286,37394.147
3.2617187,1.3131554,5.0549256,36974.166
3.3007812,1.3182074,5.1122328,36569.644
3.3398437,1.3234757,5.1687706,36179.739
3.3789062,1.3289518,5.2245607,35803.658
3.4179687,1.3346264,5.2796259,35440.65
3.4570312,1.3404901,5.3339892,35090.014
3.4960937,1.3465326,5.3876737,34751.09
3.5351562,1.352744,5.4407027,34423.261
3.5742187,1.3591142,5.4930989,34105.948
3.6132812,1.3656333,5.5448847,33798.611
3.6523437,1.3722917,5.596082,33500.745
3.6914062,1.3790801,5.6467118,33211.875
3.7304687,1.3859895,5.6967947,32931.561
3.7695312,1.3930113,5.7463507,32659.388
3.8085937,1.4001371,5.7953988,32394.97
3.8476562,1.4073592,5.8439576,32137.942
3.8867187,1.4146698,5.8920448,31887.964
3.9257812,1.4220619,5.9396776,31644.718
3.9648437,1.4295285,5.9868727,31407.903
4.0039062,1.4370632,6.0336458,31177.237
4.0429687,1.4446595,6.0800125,30952.454
4.0820312,1.4523117,6.1259876,30733.305
4.1210937,1.4600138,6.1715855,30519.554
4.1601562,1.4677605,6.21682,30310.979
4.1992187,1.4755464,6.2617045,30107.369
4.2382812,1.4833666,6.3062522,29908.525
4.2773437,1.4912161,6.3504755,29714.26
4.3164062,1.4990903,6.3943867,29524.396
4.3554687,1.5069847,6.4379976,29338.763
4.3945312,1.5148949,6.4813199,29157.202
4.4335937,1.5228169,6.5243646,28979.561
4.4726562,1.5307465,6.5671427,28805.695
4.5117187,1.5386799,6.6096649,28635.466
4.5507812,1.5466133,6.6519413,28468.744
4.5898437,1.5545431,6.6939822,28305.404
4.6289062,1.5624658,6.7357973,28145.328
4.6679687,1.5703781,6.7773962,27988.402
4.7070312,1.5782767,6.8187883,27834.519
4.7460937,1.5861585,6.8599827,27683.575
4.7851562,1.5940204,6.9009885,27535.471
4.8242187,1.6018596,6.9418142,27390.114
4.8632812,1.6096734,6.9824686,27247.414
4.9023437,1.6174589,7.0229598,27107.283
4.9414062,1.6252139,7.0632963,26969.64
4.9804687,1.6329358,7.1034858,26834.406
5.0195312,1.6406223,7.1435364,26701.504
5.0585937,1.6482713,7.1834557,26570.861
5.0976562,1.6558809,7.2232512,26442.409
5.1367187,1.663449,7.2629304,26316.08
5.1757812,1.670974,7.3025004,26191.809
5.2148437,1.6784542,7.3419684,26069.535
5.2539062,1.6858882,7.3813413,25949.198
5.2929687,1.6932746,7.4206258,25830.741
5.3320312,1.7006124,7.4598288,25714.11
5.3710937,1.7079004,7.4989566,25599.25
5.4101562,1.715138,7.5380157,25486.111
5.4492187,1.7223243,7.5770124,25374.645
5.4882812,1.7294589,7.6159527,25264.803
5.5273437,1.7365415,7.6548426,25156.54
5.5664062,1.7435719,7.693688,25049.813
5.6054687,1.7505503,7.7324946,24944.578
5.6445312,1.7574767,7.7712679,24840.795
5.6835937,1.7643517,7.8100135,24738.424
5.7226562,1.771176,7.8487365,24637.428
5.7617187,1.7779503,7.8874422,24537.769
5.8007812,1.7846757,7.9261356,24439.412
5.8398437,1.7913535,7.9648215,24342.322
5.8789062,1.7979851,8.0035047,24246.467
