time_proper_Myr,radiation_pressure_proper_cgs_dyn_cm2,gas_pressure_proper_cgs_dyn_cm2,pressure_ratio
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.846489656916676744e-53,2.655562250567185520e-12,6.953290801306940456e-42
1.024711804789396954e-02,1.819739346882865111e-53,2.657621905747855555e-12,6.847246942641338172e-42
1.049264350523976957e-02,1.806671059644796411e-53,2.658006616587397042e-12,6.797090151582742826e-42
1.073660596964293688e-02,1.783131344264185065e-53,2.658302727565299176e-12,6.707781343990604286e-42
1.097906725320440917e-02,1.772238536482300039e-53,2.658532173547045971e-12,6.666229410787072630e-42
1.122015918623586218e-02,1.766341395201919705e-53,2.658687987280903668e-12,6.643658088696576656e-42
1.146005043910108649e-02,1.757744342156909366e-53,2.658820034014904908e-12,6.610994048749730479e-42
1.169872181676725846e-02,1.744647570260514238e-53,2.658942463539620410e-12,6.561434082097495853e-42
1.193633665014365124e-02,1.736427666628387906e-53,2.659050849631918511e-12,6.530253706388332180e-42
1.217300219187624800e-02,1.731990967330786031e-53,2.659146246436533275e-12,6.513334757920107972e-42
1.240870114589423187e-02,1.729155902924693657e-53,2.659227948371090530e-12,6.502473411442173259e-42
1.264362096697861995e-02,1.726894303112570156e-53,2.659293929039473428e-12,6.493807563936031305e-42
1.287784079358553387e-02,1.724520598918736627e-53,2.659352869781759395e-12,6.484737766523853966e-42
1.311133857200008981e-02,1.721673356385395997e-53,2.659410063825763636e-12,6.473892010127381262e-42
1.334433154143826843e-02,1.718206434859841807e-53,2.659467960657229621e-12,6.460714925985513252e-42
1.357690182450551307e-02,1.714016094641869956e-53,2.659526395278951088e-12,6.444817008338400180e-42
1.380902020935982459e-02,1.708974972051563698e-53,2.659584378090505464e-12,6.425721951632727031e-42
1.404094021144825129e-02,1.703548263594638404e-53,2.659641505570553952e-12,6.405180021542746606e-42
1.427281443045448975e-02,1.699323315882186859e-53,2.659697485094650292e-12,6.389160140976383056e-42
1.450457200019393371e-02,1.696007812069081456e-53,2.659751763858392184e-12,6.376564291130511245e-42
1.473650366503408311e-02,1.693259219987390156e-53,2.659805785647287634e-12,6.366100972952505319e-42
1.496891679676228340e-02,1.690915388541921753e-53,2.659859530060081978e-12,6.357160479462337777e-42
1.520166801273760242e-02,1.688850601321076814e-53,2.659916662794767438e-12,6.349261331919346816e-42
1.543503100561688726e-02,1.686983682801740189e-53,2.659976089982551887e-12,6.342100927729790183e-42
1.566932967534535176e-02,1.685242874727183260e-53,2.660040284795817944e-12,6.335403581515837469e-42
1.590477612899471316e-02,1.683500826176750659e-53,2.660104370058735683e-12,6.328702155921718643e-42
1.614130035448596567e-02,1.681680083009683159e-53,2.660165913013777334e-12,6.321711269145841215e-42
1.637922847582942015e-02,1.679588757488584347e-53,2.660219477928960366e-12,6.313722500807268653e-42
1.661888595186279682e-02,1.677058128335061037e-53,2.660268912165816721e-12,6.304092494806136944e-42
1.686053303695336791e-02,1.674013762970017754e-53,2.660313482612817007e-12,6.292543243159040272e-42
1.710404513793142151e-02,1.670225338909043866e-53,2.660357828581588394e-12,6.278198071571261793e-42
1.734974319000548437e-02,1.665623702572221164e-53,2.660401147248274348e-12,6.260799068948761181e-42
1.759794441294983830e-02,1.661000967407331487e-53,2.660445538706764311e-12,6.243318809731169781e-42
1.784896177641982079e-02,1.657181153253553052e-53,2.660491894682986412e-12,6.228852478616614068e-42
1.810287264206195817e-02,1.653915311766482362e-53,2.660543740338271986e-12,6.216456007433266181e-42
1.835974820416111028e-02,1.651149774405839977e-53,2.660604024285267174e-12,6.205920758348839764e-42
1.861990317855887270e-02,1.648747245794853228e-53,2.660676127550967770e-12,6.196722813131151281e-42
1.888364873786705853e-02,1.646580429960254285e-53,2.660757662860844544e-12,6.188389318363749109e-42
1.915129318482084592e-02,1.644658154176694575e-53,2.660848374649789770e-12,6.180954051518090931e-42
1.942309808779039276e-02,1.642743977598012829e-53,2.660934487411842477e-12,6.173560399060509882e-42
1.969901191484153824e-02,1.640634286548855145e-53,2.661005249352460835e-12,6.165468057412112678e-42
1.997935713737540933e-02,1.637903331486515708e-53,2.661062055180677357e-12,6.155073792051449579e-42
2.026445529697383161e-02,1.634536653671529312e-53,2.661111187921766425e-12,6.142308750909595280e-42
2.055462799141138594e-02,1.630160855014466604e-53,2.661159324656217958e-12,6.125754440595393121e-42
2.085019819175039368e-02,1.624484040232964097e-53,2.661212191181504013e-12,6.104301061057962955e-42
2.115149121767449097e-02,1.619405961936205803e-53,2.661271516370520756e-12,6.085083584950303061e-42
2.145851640095449916e-02,1.615356445331393941e-53,2.661347303358895135e-12,6.069694260845427255e-42
2.177160818625436048e-02,1.612069878882450243e-53,2.661439392843000770e-12,6.057135410325486186e-42
2.209111490943687153e-02,1.609201151102853794e-53,2.661548393201477659e-12,6.046108931227080388e-42
2.241738676159407001e-02,1.606833935393465716e-53,2.661674586696118708e-12,6.036928569047936237e-42
2.275077615221202457e-02,1.604658398348576686e-53,2.661790968468552265e-12,6.028491408068036727e-42
2.309156054954860857e-02,1.601814403777568145e-53,2.661889877488624580e-12,6.017583286686559382e-42
2.343984138958927696e-02,1.598293399194815427e-53,2.661964033889817479e-12,6.004188557195852392e-42
2.379597558442208410e-02,1.593595001818372057e-53,2.662030533118944135e-12,5.986388893711338035e-42
2.416031265428188538e-02,1.586256406353480312e-53,2.662133579132969289e-12,5.958590578576859029e-42
2.453299913046059350e-02,1.580639118692093520e-53,2.662232622597466792e-12,5.937268987222865250e-42
2.491414258360973369e-02,1.576496460391649025e-53,2.662340569875684840e-12,5.921468042930592109e-42
2.530397144596290004e-02,1.572927424711658584e-53,2.662486010117467822e-12,5.907739679136424050e-42
2.570233792397824332e-02,1.570224842649968507e-53,2.662640016920537668e-12,5.897247966948246961e-42
2.610920570965018228e-02,1.567722883959022486e-53,2.662779461068475680e-12,5.887543098781274785e-42
2.652443967073130765e-02,1.563999002427110616e-53,2.662910135624024334e-12,5.873269929406026346e-42
2.694762951796686110e-02,1.559196558406927530e-53,2.663006133061133729e-12,5.855024286461654861e-42
2.737837643411629093e-02,1.552151906329464880e-53,2.663109845150389776e-12,5.828343540376242710e-42
2.781629625734388309e-02,1.545005983352586777e-53,2.663237018880863734e-12,5.801233507942991240e-42
2.825998107417699440e-02,1.540172518197126826e-53,2.663377163785050411e-12,5.782780370498916897e-42
2.869139593675540736e-02,1.536378727344677326e-53,2.663566221361815683e-12,5.768126637974725192e-42
2.911151615720125596e-02,1.533767544770046367e-53,2.663731726984674261e-12,5.757965523451043683e-42
2.952131153293214780e-02,1.531201961313407327e-53,2.663846762081373861e-12,5.748085749936365148e-42
2.992174136019269334e-02,1.526998474366093069e-53,2.663983984162432457e-12,5.732010715695754088e-42
3.031373978687134166e-02,1.521979186859337292e-53,2.664077818075383165e-12,5.712968204355474747e-42
3.069819996774865792e-02,1.515508793104064974e-53,2.664162474594105588e-12,5.688499885259280495e-42
3.107565535658143863e-02,1.509658321343045023e-53,2.664296525097007001e-12,5.666254889883468844e-42
3.144678114149555143e-02,1.505888459976597105e-53,2.664408126592061844e-12,5.651868589301740724e-42
3.181236674012935528e-02,1.503110319221145050e-53,2.664519202275536689e-12,5.641206555904974502e-42
3.217315958753124566e-02,1.500572169528685194e-53,2.664672337388839861e-12,5.631357178418126515e-42
3.252986247142587717e-02,1.498538809285870774e-53,2.664797506871837154e-12,5.623462215877638207e-42
3.288309124928376348e-02,1.496330345070530156e-53,2.664877040530879184e-12,5.615007080298312988e-42
3.323325756517068325e-02,1.492828067528188842e-53,2.664975204544450592e-12,5.601658375592173585e-42
3.358098495141532969e-02,1.488578468222683153e-53,2.665053292630261520e-12,5.585548597992716746e-42
3.392684359098600139e-02,1.483006428649858935e-53,2.665126540069601025e-12,5.564487863345991728e-42
3.427134818325771465e-02,1.477367491840988669e-53,2.665248409626555165e-12,5.543076159448836952e-42
3.461495585548619858e-02,1.473615339916404670e-53,2.665349269456283329e-12,5.528788878828679952e-42
3.495806427852869713e-02,1.470811633934434945e-53,2.665448432749120891e-12,5.518064487248219916e-42
3.530101015139831128e-02,1.468286493313348359e-53,2.665587586799630432e-12,5.508303312127173142e-42
3.564389361531136030e-02,1.466323963077591750e-53,2.665714388374962477e-12,5.500679178055053328e-42
3.598679920698775320e-02,1.464410826509968906e-53,2.665808393046128277e-12,5.493308635121508545e-42
3.632945553072537692e-02,1.461502531580886503e-53,2.665906660503939258e-12,5.482196932223490226e-42
3.667150973522641938e-02,1.457931765965182509e-53,2.665980561248366113e-12,5.468651149063497184e-42
3.701284905217763072e-02,1.453319547542480344e-53,2.666052211240970523e-12,5.451204374073386613e-42
3.735349805938451700e-02,1.446929686881706473e-53,2.666171605389553697e-12,5.426993836243694699e-42
3.769332117832219220e-02,1.442771930004203136e-53,2.666269121534800269e-12,5.411201436311469388e-42
3.803217239000902111e-02,1.439710326712811412e-53,2.666364459052506805e-12,5.399525641833723012e-42
3.837019898858376465e-02,1.437014515752056409e-53,2.666502145415252123e-12,5.389136919401470943e-42
3.870752367464048993e-02,1.434985937037476179e-53,2.666628891399536286e-12,5.381273493531930633e-42
3.904425266267105149e-02,1.433208132580848683e-53,2.666731297354308280e-12,5.374400240484481300e-42
3.938047888087855414e-02,1.430704007544072038e-53,2.666836441815732792e-12,5.364798474742485216e-42
3.971618772531104735e-02,1.427628351931252259e-53,2.666910015382356889e-12,5.353117816862569030e-42
4.005140014001523641e-02,1.423672835788706021e-53,2.666975296036262914e-12,5.338155317391242827e-42
4.038619708005386499e-02,1.417484348212296501e-53,2.667092121941511512e-12,5.314718365185068431e-42
4.072065017025141426e-02,1.412958601447288323e-53,2.667184631850480213e-12,5.297565772441423911e-42
4.105482334868688216e-02,1.409688723531229344e-53,2.667271876741044417e-12,5.285133232288381358e-42
4.138877426005261456e-02,1.406873813179902296e-53,2.667397540504315457e-12,5.274331222911413523e-42
4.172255503734826482e-02,1.404765356284745064e-53,2.667516831545248464e-12,5.266191162029098638e-42
4.205621302742913736e-02,1.403032224972015094e-53,2.667625171590676610e-12,5.259480379454516537e-42
4.238972269807580323e-02,1.400840486552067070e-53,2.667740363409435715e-12,5.251037566346072418e-42
4.272311682591772852e-02,1.398214575943043704e-53,2.667813303290802363e-12,5.241051066873072812e-42
4.305643792780326079e-02,1.394786388975605912e-53,2.667877181357734142e-12,5.228075710238550673e-42
4.338972467982141201e-02,1.389132914203427004e-53,2.667993876449232186e-12,5.206657055945683485e-42
4.372301226312433342e-02,1.384125262196608796e-53,2.668084269453028312e-12,5.187711940149333837e-42
4.405633263898659641e-02,1.380572783603989892e-53,2.668169865970309690e-12,5.174231225724188508e-42
4.438971477652652042e-02,1.377562731092862680e-53,2.668292787060097158e-12,5.162712044845160465e-42
4.472318485126812460e-02,1.375344308425368404e-53,2.668409509556606288e-12,5.154172564217480954e-42
4.505676642613314770e-02,1.373578964767806465e-53,2.668520579758696506e-12,5.147342595694029106e-42
4.539048062796627314e-02,1.371534446811675181e-53,2.668648650098967608e-12,5.139434322914001267e-42
4.572434632331233428e-02,1.369167620785215345e-53,2.668725686818546976e-12,5.130417215781489696e-42
4.605838029195177818e-02,1.366055045200869332e-53,2.668788235480100244e-12,5.118634094080243015e-42
4.639259739775271341e-02,1.360994055188802875e-53,2.668906186361007844e-12,5.099445091565721242e-42
4.672701075832684514e-02,1.355672837290728874e-53,2.668995830930111984e-12,5.079336661302665699e-42
4.706163191426099984e-02,1.351963893281697128e-53,2.669078051333273640e-12,5.065284219044684964e-42
4.739647099611208475e-02,1.348844909232372890e-53,2.669203388006558372e-12,5.053361296082165601e-42
4.773153688579186149e-02,1.346582503546858782e-53,2.669316630820268821e-12,5.044671313994923271e-42
4.806682927436917163e-02,1.344817367072918401e-53,2.669424513829115191e-12,5.037855013715542779e-42
4.840234672884328321e-02,1.342867224558578149e-53,2.669555747530641463e-12,5.030302235871043579e-42
4.873809688830826881e-02,1.340664869223924345e-53,2.669633984053648999e-12,5.021905164648152365e-42
4.907408649757377672e-02,1.337754366744742584e-53,2.669694832461082354e-12,5.010888699632839985e-42
4.941032152863467780e-02,1.333005786479881087e-53,2.669812717129737422e-12,4.992881253157596125e-42
4.974680728690281800e-02,1.327696874488557933e-53,2.669902014031540771e-12,4.972829967208202068e-42
5.008354850030344307e-02,1.323937613727731000e-53,2.669982666178554398e-12,4.958600033245283183e-42
5.042054939393308260e-02,1.320784294442622648e-53,2.670110182409233572e-12,4.946553528554699282e-42
5.075781375184765243e-02,1.318534869112739496e-53,2.670219999950010004e-12,4.937925972906442787e-42
