RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
0.01953125,-0.0024774703,1.7606423,107632.99
0.05859375,0.02756473,1.7607262,107731.71
0.09765625,0.054609745,1.7619382,107692.35
0.13671875,0.078455521,1.7640168,107586.68
0.17578125,0.10164717,1.7668709,107431.97
0.21484375,0.1248267,1.7704698,107230.44
0.25390625,0.14769147,1.7747926,106983.2
0.29296875,0.17028894,1.7798352,106691.45
0.33203125,0.19276269,1.7856052,106356.41
0.37109375,0.21528245,1.7921155,105978.81
0.41015625,0.23790975,1.7993801,105559.11
0.44921875,0.26066073,1.8074117,105097.93
0.48828125,0.28350696,1.8162227,104595.67
0.52734375,0.30638496,1.825826,104052.69
0.56640625,0.32925421,1.8362364,103469.46
0.60546875,0.35211345,1.8474712,102846.45
0.64453125,0.37498541,1.8595502,102184.25
0.68359375,0.39790052,1.8724951,101483.47
0.72265625,0.42088397,1.8863291,100744.75
0.76171875,0.44394646,1.9010763,99968.769
0.80078125,0.46708403,1.9167619,99156.22
0.83984375,0.4902808,1.9334124,98307.824
0.87890625,0.51351545,1.9510554,97424.35
0.91796875,0.5367668,1.9697202,96506.616
0.95703125,0.56001583,1.9894376,95555.498
0.99609375,0.58324637,2.0102402,94571.937
1.0351562,0.6064438,2.032162,93556.936
1.0742187,0.62959331,2.0552386,92511.565
1.1132812,0.65267882,2.0795069,91436.96
1.1523437,0.67568223,2.105005,90334.326
1.1914062,0.69858338,2.1317724,89204.94
1.2304687,0.72136029,2.1598491,88050.154
1.2695312,0.74398898,2.1892764,86871.398
1.3085937,0.76644301,2.2200957,85670.18
1.3476562,0.78869294,2.2523489,84448.091
1.3867187,0.81070585,2.2860776,83206.8
1.4257812,0.83244506,2.3213232,81948.06
1.4648437,0.85387045,2.3581256,80673.705
1.5039062,0.87493893,2.3965238,79385.653
1.5429687,0.89560522,2.4365543,78085.902
1.5820312,0.91582235,2.4782513,76776.53
1.6210937,0.93554223,2.5216455,75459.69
1.6601562,0.95471597,2.5667635,74137.605
1.6992187,0.97329418,2.6136271,72812.563
1.7382812,0.99122735,2.662252,71486.903
1.7773438,1.0084664,2.7126474,70163.01
1.8164062,1.0249636,2.7648146,68843.302
1.8554687,1.0406733,2.8187465,67530.215
1.8945312,1.0555532,2.8744264,66226.187
1.9335937,1.0695654,2.9318273,64933.642
1.9726562,1.0826774,2.9909111,63654.973
2.0117187,1.0948636,3.0516281,62392.52
2.0507812,1.1061058,3.1139168,61148.548
2.0898437,1.116394,3.1777032,59925.23
2.1289062,1.1257278,3.2429013,58724.621
2.1679687,1.134116,3.3094134,57548.638
2.2070312,1.1415778,3.3771303,56399.045
2.2460937,1.1481425,3.4459329,55277.426
2.2851562,1.1538492,3.5156931,54185.179
2.3242187,1.1587464,3.5862755,53123.495
2.3632812,1.1628911,3.657539,52093.354
2.4023438,1.1663478,3.7293388,51095.516
2.4414062,1.1691871,3.8015291,50130.52
2.4804688,1.1714845,3.8739644,49198.685
2.5195312,1.1733185,3.9465023,48300.118
2.5585937,1.1747694,4.0190056,47434.72
2.5976562,1.1759172,4.0913438,46602.205
2.6367187,1.1768406,4.1633951,45802.108
2.6757812,1.1776151,4.2350476,45033.808
2.7148437,1.1783119,4.3062007,44296.548
2.7539062,1.1789971,4.3767651,43589.451
2.7929687,1.1797306,4.4466639,42911.548
2.8320312,1.1805658,4.5158321,42261.791
2.8710937,1.1815494,4.5842167,41639.076
2.9101562,1.1827208,4.6517759,41042.266
2.9492187,1.184113,4.7184786,40470.199
2.9882812,1.1857525,4.7843034,39921.711
3.0273437,1.1876598,4.8492375,39395.646
3.0664062,1.1898499,4.913276,38890.865
3.1054687,1.1923332,4.9764205,38406.262
3.1445312,1.1951156,5.0386783,37940.762
3.1835938,1.1981996,5.1000615,37493.335
3.2226562,1.2015847,5.1605856,37062.996
3.2617187,1.2052678,5.2202695,36648.805
3.3007812,1.2092439,5.2791339,36249.876
3.3398437,1.2135066,5.3372014,35865.367
3.3789062,1.218048,5.3944955,35494.49
3.4179687,1.2228598,5.4510403,35136.501
3.4570312,1.2279328,5.5068602,34790.705
3.4960938,1.2332576,5.5619797,34456.45
3.5351562,1.2388245,5.6164227,34133.127
3.5742187,1.244624,5.670213,33820.164
3.6132812,1.2506465,5.7233735,33517.029
3.6523437,1.2568825,5.7759268,33223.225
3.6914062,1.2633227,5.8278946,32938.286
3.7304687,1.2699584,5.8792977,32661.776
3.7695312,1.2767806,5.9301566,32393.289
3.8085937,1.2837809,5.9804906,32132.443
3.8476562,1.2909513,6.0303185,31878.881
3.8867187,1.2982838,6.0796584,31632.27
3.9257812,1.3057708,6.1285276,31392.293
3.9648437,1.313405,6.1769428,31158.657
4.0039062,1.3211791,6.2249201,30931.084
4.0429688,1.3290863,6.2724749,30709.313
4.0820312,1.3371198,6.3196222,30493.098
4.1210937,1.345273,6.3663763,30282.207
4.1601562,1.3535396,6.412751,30076.422
4.1992187,1.3619133,6.4587597,29875.535
4.2382812,1.3703881,6.5044154,29679.351
4.2773437,1.378958,6.5497304,29487.685
4.3164062,1.3876171,6.5947168,29300.362
4.3554687,1.3963599,6.6393864,29117.215
4.3945312,1.4051806,6.6837504,28938.087
4.4335937,1.414074,6.7278199,28762.829
4.4726562,1.4230346,6.7716055,28591.297
4.5117187,1.4320574,6.8151176,28423.357
4.5507812,1.4411371,6.8583663,28258.879
4.5898437,1.4502688,6.9013614,28097.742
4.6289062,1.4594477,6.9441124,27939.827
4.6679687,1.4686691,6.9866287,27785.024
4.7070312,1.4779282,7.0289194,27633.226
4.7460938,1.4872206,7.0709933,27484.332
4.7851562,1.4965419,7.1128592,27338.243
4.8242187,1.5058878,7.1545255,27194.868
4.8632812,1.5152543,7.1960006,27054.118
4.9023438,1.5246372,7.2372926,26915.906
4.9414062,1.5340328,7.2784095,26780.153
4.9804687,1.5434373,7.3193591,26646.779
5.0195312,1.5528472,7.3601491,26515.71
5.0585937,1.562259,7.4007871,26386.873
5.0976562,1.5716697,7.4412805,26260.2
5.1367187,1.5810761,7.4816365,26135.624
5.1757812,1.5904754,7.5218623,26013.082
5.2148437,1.599865,7.561965,25892.513
5.2539062,1.6092426,7.6019514,25773.857
5.2929688,1.6186058,7.6418284,25657.057
5.3320312,1.6279529,7.6816027,25542.06
5.3710937,1.6372821,7.7212806,25428.812
5.4101562,1.6465921,7.7608687,25317.264
5.4492188,1.6558818,7.8003733,25207.365
5.4882812,1.6651504,7.8398004,25099.07
5.5273437,1.6743975,7.8791562,24992.332
5.5664062,1.6836231,7.9184463,24887.109
5.6054687,1.6928272,7.9576766,24783.357
5.6445312,1.7020106,7.9968525,24681.037
5.6835937,1.7111741,8.0359794,24580.109
5.7226562,1.7203192,8.0750626,24480.534
