time_proper_Myr,radiation_pressure_proper_cgs_dyn_cm2,gas_pressure_proper_cgs_dyn_cm2,pressure_ratio
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,9.610782657470294586e-54,1.877777030279549327e-12,5.118170316546854883e-42
1.197695707981945648e-02,9.439551964534232978e-54,1.886901194190812596e-12,5.002674222474237166e-42
1.392554954650134999e-02,9.134322323145733230e-54,1.899834822124721758e-12,4.807956047952718403e-42
1.581187131179497343e-02,8.859044783453245733e-54,1.906328699088266901e-12,4.647175897677157924e-42
1.803700132796720590e-02,8.647066072549283847e-54,1.911163264373145622e-12,4.524504124657025857e-42
2.072050042779856674e-02,8.530320774775828787e-54,1.914854121344324581e-12,4.454814954147583327e-42
2.375028782620490150e-02,8.413697917455389936e-54,1.919252477392526764e-12,4.383841113435027825e-42
2.643714127582980772e-02,8.353333033334950296e-54,1.921867217787917033e-12,4.346467308469778800e-42
2.911872025724211721e-02,8.279126128115332897e-54,1.925535855829898194e-12,4.299647863242236408e-42
3.189894102178007090e-02,8.236566479492213551e-54,1.927907775539336642e-12,4.272282411013158858e-42
3.489467167124524899e-02,8.078478690857348308e-54,1.936550252007147300e-12,4.171582267222019046e-42
3.780178435004981352e-02,7.936473875412735018e-54,1.942155170664151791e-12,4.086426252284840748e-42
4.091207993102798091e-02,7.674623243792751346e-54,1.948847926506659943e-12,3.938030843458181935e-42
4.384211526047646773e-02,7.551263993832724396e-54,1.952290363830133649e-12,3.867900048954884982e-42
4.683314990054995158e-02,7.418070809393631379e-54,1.956900075711476215e-12,3.790725393424403916e-42
4.983260168790721450e-02,7.356105606844429992e-54,1.959541570367426728e-12,3.753993137009648780e-42
5.292849580767588352e-02,7.271448358245038327e-54,1.964004527201283008e-12,3.702358246906330456e-42
5.591844455950515519e-02,7.241484340311980616e-54,1.965928914733172037e-12,3.683492463050139862e-42
5.894331792621861077e-02,7.089829785803544121e-54,1.974821397958247901e-12,3.590111892211449205e-42
6.185166618042629849e-02,6.990350319494714472e-54,1.979171795438271150e-12,3.531957324577152173e-42
6.488733934241587564e-02,6.787205854055828674e-54,1.984926311271303168e-12,3.419374218334970759e-42
6.788951626756715985e-02,6.690488772706351480e-54,1.987734989647569790e-12,3.365885697817590772e-42
7.089682948652900607e-02,6.574503303226628863e-54,1.991963057986269749e-12,3.300514674139075502e-42
7.387051518210072110e-02,6.528955093053897715e-54,1.994007940513867220e-12,3.274287408991635858e-42
7.685726137692704130e-02,6.455527273721113643e-54,1.998084686035844457e-12,3.230857690285758843e-42
7.988571474392164307e-02,6.431857117649025619e-54,1.999664301860118002e-12,3.216468440060671651e-42
8.294997664587606956e-02,6.332092893623762953e-54,2.006631891913367412e-12,3.155582705099924411e-42
8.582401975388027904e-02,6.269398358270756520e-54,2.010231584835798786e-12,3.118744330535856380e-42
8.893831464083259974e-02,6.112729167767419669e-54,2.016109077839033961e-12,3.031943675547231146e-42
9.196504633986596344e-02,6.029066591817697944e-54,2.018524886235491017e-12,2.986867604620811798e-42
9.510662093145950957e-02,5.903332920685427747e-54,2.022679720517348987e-12,2.918570281198799308e-42
9.821280661927685174e-02,5.861207645155626455e-54,2.024461187842501158e-12,2.895193881885186336e-42
1.000000000000000056e-01,5.816419808851047150e-54,2.026825778259019864e-12,2.869718685859210945e-42
1.032173797147281080e-01,5.776865541354753709e-54,2.029090240851738595e-12,2.847022485766741706e-42
1.064506395152182427e-01,5.727215125295772659e-54,2.032561362204176256e-12,2.817732951041139828e-42
1.093916057958138205e-01,5.714593438151547126e-54,2.033688476137925388e-12,2.809964999656113203e-42
1.127019958827950863e-01,5.592917090369896692e-54,2.041622888125067824e-12,2.739446703355766888e-42
1.156394998736154645e-01,5.541916270621674580e-54,2.044228947725461993e-12,2.711005671252214659e-42
1.190190632816699595e-01,5.395366006219246675e-54,2.049071264715758967e-12,2.633078750908000234e-42
1.221079772643225564e-01,5.342866814716728938e-54,2.050868561410578599e-12,2.605172713282965427e-42
1.255433510205565262e-01,5.249031002074427464e-54,2.054898008983015971e-12,2.554399770269966597e-42
1.288536780104267143e-01,5.222834988888129704e-54,2.056292174264156969e-12,2.539928447063763342e-42
1.322497329446555570e-01,5.161043549582715114e-54,2.060413865593577045e-12,2.504857706388948897e-42
1.352091315786782266e-01,5.148640057497391489e-54,2.061440719022734494e-12,2.497593071673777294e-42
1.387082695232403073e-01,5.060619440432826004e-54,2.068408310309453177e-12,2.446624979801841173e-42
1.415835696154693346e-01,5.024990382237971713e-54,2.070734968094765360e-12,2.426669979336538409e-42
1.451064916959389495e-01,4.903094553713262038e-54,2.075853465664618000e-12,2.361965637176349082e-42
1.481873827251547204e-01,4.856261256430167234e-54,2.077399779414546491e-12,2.337663315723832627e-42
1.516918717068954092e-01,4.759872558222045839e-54,2.081264210378720732e-12,2.287010238529930587e-42
1.550422013059649107e-01,4.735379260045876603e-54,2.082498122010333986e-12,2.273893652050255494e-42
1.585339243907342710e-01,4.675294148632425233e-54,2.086389422871256378e-12,2.240854031074581724e-42
1.616018725028153524e-01,4.664173195022688476e-54,2.087256116924530442e-12,2.234595532959854902e-42
1.651094668379090025e-01,4.607807339831557231e-54,2.092389110748357030e-12,2.202175167210435410e-42
1.679978771043712793e-01,4.586168919417664285e-54,2.094312303497281971e-12,2.189820931557935689e-42
1.715346614407879944e-01,4.488998858119239270e-54,2.099903389809323385e-12,2.137716849215073621e-42
