RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
0.15625,1.0645441,7.1161045,63978.996
0.46875,1.9008206,7.5691253,62731.594
0.78125,2.6952704,8.2918755,58986.809
1.09375,3.4041978,9.3717343,53413.449
1.40625,3.9733625,10.885905,46886.331
1.71875,4.4116323,12.85101,40465.633
2.03125,4.8599627,15.244021,35074.749
2.34375,5.5227419,18.347387,30846.65
2.65625,6.3510076,22.661999,27245.289
2.96875,6.9043042,26.747846,25169.449
3.28125,9.8785764,30.323307,16883.122
3.59375,9.9500405,34.958129,13226.159
3.90625,7.685414,40.420957,100
4.21875,6.9318907,42.922748,100
4.53125,6.1723875,43.614745,100
4.84375,6.0305989,46.704526,100
5.15625,14.911592,65.622068,100
5.46875,16.260365,109.1144,100
5.78125,10.851052,171.07723,3633.8282
6.09375,7.3502902,186.75095,3110.5204
6.40625,4.3386448,159.85745,2121.1603
6.71875,1.438865,121.55085,717.35902
7.03125,0.14071106,103.00423,136.4599
7.34375,0.0034970453,100.1469,100.38176
7.65625,4.9200995e-05,100.0033,100.00369
7.96875,6.5744743e-07,100.00005,100.00004
8.28125,8.4492766e-09,100,100
8.59375,1.0336074e-10,100,100
8.90625,1.200513e-12,100,100
9.21875,1.3286144e-14,100,100
9.53125,1.5074012e-16,100,100
9.84375,-1.3459241e-17,100,100
10.15625,1.2643787e-17,100,100
10.46875,-4.6278771e-18,100,100
10.78125,0,100,100
11.09375,1.177471e-18,100,100
11.40625,-5.5691991e-19,100,100
11.71875,2.1104611e-18,100,100
12.03125,4.0045134e-18,100,100
12.34375,-1.9021653e-18,100,100
12.65625,1.0856373e-17,100,100
12.96875,0,100,100
13.28125,-1.6431141e-18,100,100
13.59375,3.1368806e-18,100,100
13.90625,1.4987436e-18,100,100
14.21875,6.4511609e-18,100,100
14.53125,2.7451936e-18,100,100
14.84375,2.6308275e-18,100,100
15.15625,-1.1986444e-17,100,100
15.46875,6.0563431e-19,100,100
15.78125,0,100,100
16.09375,-3.3570575e-18,100,100
16.40625,-1.4536761e-17,100,100
16.71875,-1.4516886e-16,100,100
17.03125,1.9984369e-18,100,100
17.34375,1.4790277e-16,100,100
17.65625,1.8129758e-17,100,100
17.96875,-1.7953494e-18,100,100
18.28125,-1.6477713e-17,100,100
18.59375,-1.4587159e-16,100,100
18.90625,7.2977252e-18,100,100
19.21875,1.4909375e-16,100,100
19.53125,1.8235076e-17,100,100
19.84375,-8.8326384e-18,100,100
