time_proper_Myr,shell_radius_proper_pc,wind_pressure_proper_cgs_dyn_cm2,gas_pressure_proper_cgs_dyn_cm2,pressure_ratio
0.000000000000000000e+00,4.406249999999999334e-01,2.712401828200550205e-10,0.000000000000000000e+00,0.000000000000000000e+00
5.882350000000000079e-02,4.034374999999999822e+00,3.235487819592059900e-12,3.931011459656139928e-10,8.230675114529123829e-03
1.176471000000000044e-01,4.815624999999999822e+00,2.270842304564492642e-12,2.946599261364469215e-10,7.706654699672134748e-03
1.764706000000000052e-01,5.753124999999999822e+00,1.591053109684771716e-12,2.221851253297806582e-10,7.160934411442863162e-03
2.352941000000000060e-01,6.534374999999999822e+00,1.233343894101388686e-12,1.829499653275327082e-10,6.741427318083120096e-03
2.941175999999999791e-01,7.315624999999999822e+00,9.839871485870001229e-13,1.585703753234078882e-10,6.205365577146021092e-03
3.529412000000000105e-01,7.940624999999999822e+00,8.351854574580210500e-13,1.413777389483264932e-10,5.907474993381249019e-03
4.117646999999999835e-01,8.721875000000000711e+00,6.922653282779503267e-13,1.273527199916840154e-10,5.435811094754430459e-03
4.705882000000000120e-01,9.346875000000000711e+00,6.027808237646753809e-13,1.163352656557470001e-10,5.181410988035146763e-03
5.294117999999999880e-01,9.971875000000000711e+00,5.295886213434144597e-13,1.067212032879543770e-10,4.962356167541349082e-03
5.882353000000000165e-01,1.059687500000000071e+01,4.689609427774330977e-13,9.878947695499458024e-11,4.747073850700486708e-03
6.470588000000000450e-01,1.122187500000000071e+01,4.181782525441292701e-13,9.184840215755609609e-11,4.552918098964740465e-03
7.058824000000000209e-01,1.184687499999999893e+01,3.752188818166444186e-13,8.552140977489687654e-11,4.387426292483575380e-03
7.647059000000000495e-01,1.231562500000000071e+01,3.471997341815318988e-13,7.996907653778797840e-11,4.341674922524193549e-03
8.235293999999999670e-01,1.294062500000000071e+01,3.144718624211069289e-13,7.549988125630252043e-11,4.165196781615543471e-03
8.823528999999999956e-01,1.340937499999999716e+01,2.928702275700923419e-13,7.115109038329356618e-11,4.116173427454021712e-03
9.411764999999999715e-01,1.387812500000000071e+01,2.734202697239516184e-13,6.751166879290483422e-11,4.049970540095534227e-03
1.000000000000000000e+00,1.434687500000000071e+01,2.558454325605618126e-13,6.389722935860173363e-11,4.004014495287663497e-03
