RADIUS_PC,VELOCITY_KMS,DENSITY_CM3,TEMP_K
0.06953125,0,100,100
0.10859375,0,100,100
0.14765625,0,100,100
0.18671875,0,100,100
0.22578125,0,100,100
0.26484375,0,100,100
0.30390625,0,100,100
0.34296875,0,100,100
0.38203125,0,100,100
0.42109375,0,100,100
0.46015625,0,100,100
0.49921875,0,100,100
0.53828125,0,100,100
0.57734375,0,100,100
0.61640625,0,100,100
0.65546875,0,100,100
0.69453125,0,100,100
0.73359375,0,100,100
0.77265625,0,100,100
0.81171875,0,100,100
0.85078125,0,100,100
0.88984375,0,100,100
0.92890625,0,100,100
0.96796875,0,100,100
1.0070312,0,100,100
1.0460938,0,100,100
1.0851562,0,100,100
1.1242187,0,100,100
1.1632812,0,100,100
1.2023437,0,100,100
1.2414062,0,100,100
1.2804687,0,100,100
1.3195312,0,100,100
1.3585937,0,100,100
1.3976562,0,100,100
1.4367187,0,100,100
1.4757812,0,100,100
1.5148437,0,100,100
1.5539062,0,100,100
1.5929687,0,100,100
1.6320312,0,100,100
1.6710937,0,100,100
1.7101562,0,100,100
1.7492187,0,100,100
1.7882812,0,100,100
1.8273437,0,100,100
1.8664062,0,100,100
1.9054687,0,100,100
1.9445312,0,100,100
1.9835938,0,100,100
2.0226562,0,100,100
2.0617187,0,100,100
2.1007812,0,100,100
2.1398437,0,100,100
2.1789062,0,100,100
2.2179687,0,100,100
2.2570312,0,100,100
2.2960937,0,100,100
2.3351562,0,100,100
2.3742187,0,100,100
2.4132812,0,100,100
2.4523437,0,100,100
2.4914062,0,100,100
2.5304687,0,100,100
2.5695312,0,100,100
2.6085937,0,100,100
2.6476562,0,100,100
2.6867187,0,100,100
2.7257812,0,100,100
2.7648437,0,100,100
2.8039062,0,100,100
2.8429687,0,100,100
2.8820312,0,100,100
2.9210937,0,100,100
2.9601562,0,100,100
2.9992187,0,100,100
3.0382812,0,100,100
3.0773437,0,100,100
3.1164062,0,100,100
3.1554688,0,100,100
3.1945312,0,100,100
3.2335937,0,100,100
3.2726562,0,100,100
3.3117187,0,100,100
3.3507812,0,100,100
3.3898437,0,100,100
3.4289062,0,100,100
3.4679687,0,100,100
3.5070312,0,100,100
3.5460937,0,100,100
3.5851562,0,100,100
3.6242187,0,100,100
3.6632812,0,100,100
3.7023437,0,100,100
3.7414062,0,100,100
3.7804687,0,100,100
3.8195312,0,100,100
3.8585937,0,100,100
3.8976562,0,100,100
3.9367187,0,100,100
3.9757812,0,100,100
4.0148437,0,100,100
4.0539062,0,100,100
4.0929687,0,100,100
4.1320312,0,100,100
4.1710937,0,100,100
4.2101562,0,100,100
4.2492187,0,100,100
4.2882812,0,100,100
4.3273437,0,100,100
4.3664062,0,100,100
4.4054687,0,100,100
4.4445312,0,100,100
4.4835937,0,100,100
4.5226562,0,100,100
4.5617187,0,100,100
4.6007812,0,100,100
4.6398437,0,100,100
4.6789062,0,100,100
4.7179687,0,100,100
4.7570312,0,100,100
4.7960937,0,100,100
4.8351562,0,100,100
4.8742187,0,100,100
4.9132812,0,100,100
4.9523437,0,100,100
4.9914062,0,100,100
5.0304687,0,100,100
5.0695312,0,100,100
5.1085937,0,100,100
5.1476562,0,100,100
5.1867187,0,100,100
5.2257812,0,100,100
5.2648437,0,100,100
5.3039062,0,100,100
5.3429687,0,100,100
5.3820312,0,100,100
5.4210937,0,100,100
5.4601562,0,100,100
5.4992187,0,100,100
5.5382812,0,100,100
5.5773437,0,100,100
5.6164062,0,100,100
5.6554687,0,100,100
5.6945312,0,100,100
5.7335937,0,100,100
5.7726562,0,100,100
5.8117187,0,100,100
5.8507812,0,100,100
5.8898437,0,100,100
5.9289062,0,100,100
5.9679687,0,100,100
6.0070312,0,100,100
6.0460937,0,100,100
6.0851562,0,100,100
6.1242187,0,100,100
6.1632812,0,100,100
6.2023437,0,100,100
6.2414062,0,100,100
6.2804687,0,100,100
6.3195312,0,100,100
6.3585937,0,100,100
6.3976562,0,100,100
6.4367187,0,100,100
6.4757812,0,100,100
6.5148437,0,100,100
6.5539062,0,100,100
6.5929687,0,100,100
6.6320312,0,100,100
6.6710937,0,100,100
6.7101562,0,100,100
6.7492187,0,100,100
6.7882812,0,100,100
6.8273437,0,100,100
6.8664062,0,100,100
6.9054687,0,100,100
6.9445312,0,100,100
6.9835937,0,100,100
7.0226562,0,100,100
7.0617187,0,100,100
7.1007812,0,100,100
7.1398437,0,100,100
7.1789062,0,100,100
7.2179687,0,100,100
7.2570312,0,100,100
7.2960937,0,100,100
7.3351562,0,100,100
7.3742187,0,100,100
7.4132812,0,100,100
7.4523437,0,100,100
7.4914062,0,100,100
7.5304687,0,100,100
7.5695312,0,100,100
7.6085937,0,100,100
7.6476562,0,100,100
7.6867187,0,100,100
7.7257812,0,100,100
7.7648437,0,100,100
7.8039062,0,100,100
7.8429687,0,100,100
7.8820312,0,100,100
7.9210937,0,100,100
7.9601562,0,100,100
7.9992187,0,100,100
8.0382812,0,100,100
8.0773437,0,100,100
8.1164062,0,100,100
8.1554687,0,100,100
8.1945312,0,100,100
8.2335937,0,100,100
8.2726562,0,100,100
8.3117187,0,100,100
8.3507812,0,100,100
8.3898437,0,100,100
8.4289062,0,100,100
8.4679687,0,100,100
8.5070312,0,100,100
8.5460937,0,100,100
8.5851562,0,100,100
8.6242187,0,100,100
8.6632812,0,100,100
8.7023437,0,100,100
8.7414062,0,100,100
8.7804687,0,100,100
8.8195312,0,100,100
8.8585938,0,100,100
8.8976562,0,100,100
8.9367187,0,100,100
8.9757812,0,100,100
9.0148437,0,100,100
9.0539062,0,100,100
9.0929687,0,100,100
9.1320312,0,100,100
9.1710937,0,100,100
9.2101562,0,100,100
9.2492187,0,100,100
9.2882812,0,100,100
9.3273437,0,100,100
9.3664062,0,100,100
9.4054687,0,100,100
9.4445312,0,100,100
9.4835937,0,100,100
9.5226562,0,100,100
9.5617187,0,100,100
9.6007812,0,100,100
9.6398437,0,100,100
9.6789062,0,100,100
9.7179687,0,100,100
9.7570312,0,100,100
9.7960937,0,100,100
9.8351562,0,100,100
9.8742187,0,100,100
9.9132812,0,100,100
9.9523437,0,100,100
9.9914062,0,100,100
10.030469,0,100,100
10.069531,0,100,100
10.108594,0,100,100
10.147656,0,100,100
10.186719,0,100,100
10.225781,0,100,100
10.264844,0,100,100
10.303906,0,100,100
10.342969,0,100,100
10.382031,0,100,100
10.421094,0,100,100
10.460156,0,100,100
10.499219,0,100,100
10.538281,0,100,100
10.577344,0,100,100
10.616406,0,100,100
10.655469,0,100,100
10.694531,0,100,100
10.733594,0,100,100
10.772656,0,100,100
10.811719,0,100,100
10.850781,0,100,100
10.889844,0,100,100
10.928906,0,100,100
10.967969,0,100,100
11.007031,0,100,100
11.046094,0,100,100
11.085156,0,100,100
11.124219,0,100,100
11.163281,0,100,100
11.202344,0,100,100
11.241406,0,100,100
11.280469,0,100,100
11.319531,0,100,100
11.358594,0,100,100
11.397656,0,100,100
11.436719,0,100,100
11.475781,0,100,100
11.514844,0,100,100
11.553906,0,100,100
11.592969,0,100,100
11.632031,0,100,100
11.671094,0,100,100
11.710156,0,100,100
11.749219,0,100,100
11.788281,0,100,100
11.827344,0,100,100
11.866406,0,100,100
11.905469,0,100,100
11.944531,0,100,100
11.983594,0,100,100
12.022656,0,100,100
12.061719,0,100,100
12.100781,0,100,100
12.139844,0,100,100
12.178906,0,100,100
12.217969,0,100,100
12.257031,0,100,100
12.296094,0,100,100
12.335156,0,100,100
12.374219,0,100,100
12.413281,0,100,100
12.452344,0,100,100
12.491406,0,100,100
12.530469,0,100,100
12.569531,0,100,100
12.608594,0,100,100
12.647656,0,100,100
12.686719,0,100,100
12.725781,0,100,100
12.764844,0,100,100
12.803906,0,100,100
12.842969,0,100,100
12.882031,0,100,100
12.921094,0,100,100
12.960156,0,100,100
12.999219,0,100,100
13.038281,0,100,100
13.077344,0,100,100
13.116406,0,100,100
13.155469,0,100,100
13.194531,0,100,100
13.233594,0,100,100
13.272656,0,100,100
13.311719,0,100,100
13.350781,0,100,100
13.389844,0,100,100
13.428906,0,100,100
13.467969,0,100,100
13.507031,0,100,100
13.546094,0,100,100
13.585156,0,100,100
13.624219,0,100,100
13.663281,0,100,100
13.702344,0,100,100
13.741406,0,100,100
13.780469,0,100,100
13.819531,0,100,100
13.858594,0,100,100
13.897656,0,100,100
13.936719,0,100,100
13.975781,0,100,100
14.014844,0,100,100
14.053906,0,100,100
14.092969,0,100,100
14.132031,0,100,100
14.171094,0,100,100
14.210156,0,100,100
14.249219,0,100,100
14.288281,0,100,100
14.327344,0,100,100
14.366406,0,100,100
14.405469,0,100,100
14.444531,0,100,100
14.483594,0,100,100
14.522656,0,100,100
14.561719,0,100,100
14.600781,0,100,100
14.639844,0,100,100
14.678906,0,100,100
14.717969,0,100,100
14.757031,0,100,100
14.796094,0,100,100
14.835156,0,100,100
14.874219,0,100,100
14.913281,0,100,100
14.952344,0,100,100
14.991406,0,100,100
15.030469,0,100,100
15.069531,0,100,100
15.108594,0,100,100
15.147656,0,100,100
15.186719,0,100,100
15.225781,0,100,100
15.264844,0,100,100
15.303906,0,100,100
15.342969,0,100,100
15.382031,0,100,100
15.421094,0,100,100
15.460156,0,100,100
15.499219,0,100,100
15.538281,0,100,100
15.577344,0,100,100
15.616406,0,100,100
15.655469,0,100,100
15.694531,0,100,100
15.733594,0,100,100
15.772656,0,100,100
15.811719,0,100,100
15.850781,0,100,100
15.889844,0,100,100
15.928906,0,100,100
15.967969,0,100,100
16.007031,0,100,100
16.046094,0,100,100
16.085156,0,100,100
16.124219,0,100,100
16.163281,0,100,100
16.202344,0,100,100
16.241406,0,100,100
16.280469,0,100,100
16.319531,0,100,100
16.358594,0,100,100
16.397656,0,100,100
16.436719,0,100,100
16.475781,0,100,100
16.514844,0,100,100
16.553906,0,100,100
16.592969,0,100,100
16.632031,0,100,100
16.671094,0,100,100
16.710156,0,100,100
16.749219,0,100,100
16.788281,0,100,100
16.827344,0,100,100
16.866406,0,100,100
16.905469,0,100,100
16.944531,0,100,100
16.983594,0,100,100
17.022656,0,100,100
17.061719,0,100,100
17.100781,0,100,100
17.139844,0,100,100
17.178906,0,100,100
17.217969,0,100,100
17.257031,0,100,100
17.296094,0,100,100
17.335156,0,100,100
17.374219,0,100,100
17.413281,0,100,100
17.452344,0,100,100
17.491406,0,100,100
17.530469,0,100,100
17.569531,0,100,100
17.608594,0,100,100
17.647656,0,100,100
17.686719,0,100,100
17.725781,0,100,100
17.764844,0,100,100
17.803906,0,100,100
17.842969,0,100,100
17.882031,0,100,100
17.921094,0,100,100
17.960156,0,100,100
17.999219,0,100,100
18.038281,0,100,100
18.077344,0,100,100
18.116406,0,100,100
18.155469,0,100,100
18.194531,0,100,100
18.233594,0,100,100
18.272656,0,100,100
18.311719,0,100,100
18.350781,0,100,100
18.389844,0,100,100
18.428906,0,100,100
18.467969,0,100,100
18.507031,0,100,100
18.546094,0,100,100
18.585156,0,100,100
18.624219,0,100,100
18.663281,0,100,100
18.702344,0,100,100
18.741406,0,100,100
18.780469,0,100,100
18.819531,0,100,100
18.858594,0,100,100
18.897656,0,100,100
18.936719,0,100,100
18.975781,0,100,100
19.014844,0,100,100
19.053906,0,100,100
19.092969,0,100,100
19.132031,0,100,100
19.171094,0,100,100
19.210156,0,100,100
19.249219,0,100,100
19.288281,0,100,100
19.327344,0,100,100
19.366406,0,100,100
19.405469,0,100,100
19.444531,0,100,100
19.483594,0,100,100
19.522656,0,100,100
19.561719,0,100,100
19.600781,0,100,100
19.639844,0,100,100
19.678906,0,100,100
19.717969,0,100,100
19.757031,0,100,100
19.796094,0,100,100
19.835156,0,100,100
19.874219,0,100,100
19.913281,0,100,100
19.952344,0,100,100
19.991406,0,100,100
20.030469,0,100,100
