RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
0.06953125,-101.62111,4.3581613,19431648
0.10859375,-103.2754,4.119659,11513772
0.14765625,-63.60131,3.5192132,7438936.5
0.18671875,-39.980389,3.1415218,5166895.3
0.22578125,-27.031163,2.9135048,3790496.3
0.26484375,-19.412269,2.7670206,2894828.4
0.30390625,-14.545735,2.6676558,2278747
0.34296875,-11.237491,2.5983375,1836556.5
0.38203125,-8.8826964,2.5497743,1508336.8
0.42109375,-7.1459539,2.5164531,1257984.5
0.46015625,-5.8280255,2.4948945,1062665.3
0.49921875,-4.8041667,2.4828053,907354.07
0.53828125,-3.9929294,2.4786278,781831.8
0.57734375,-3.3392653,2.4812835,678950.22
0.61640625,-2.8048692,2.4900193,593586.67
0.65546875,-2.3624136,2.5043109,521991.9
0.69453125,-1.9919759,2.5238013,461370.57
0.73359375,-1.6787539,2.5482595,409604.03
0.77265625,-1.4115635,2.5775526,365062.79
0.81171875,-1.1818268,2.6116271,326476.94
0.85078125,-0.98287608,2.6504957,292844.98
0.88984375,-0.80946528,2.6942285,263368.41
0.92890625,-0.65742113,2.742947,237404.35
0.96796875,-0.52339045,2.7968206,214430.42
1.0070312,-0.40465417,2.8560642,194018.64
1.0460938,-0.29898875,2.9209379,175815.62
1.0851562,-0.20456173,2.9917472,159527.47
1.1242187,-0.11985236,3.0688443,144908.14
1.1632812,-0.043601163,3.1526295,131750.34
1.2023437,0.024785067,3.2435179,119877.46
1.2414062,0.085576096,3.3417622,109149.64
1.2804687,0.1401374,3.4475397,99450.885
1.3195312,0.18990644,3.5613577,90663.441
1.3585937,0.23540943,3.6838432,82687.426
1.3976562,0.27710474,3.8156843,75436.414
1.4367187,0.31538994,3.9576368,68835.281
1.4757812,0.35061127,4.1105314,62818.448
1.5148437,0.3830714,4.2752808,57328.425
1.5539062,0.41303589,4.4528884,52314.61
1.5929687,0.44073855,4.6444575,47732.292
1.6320312,0.46638592,4.8512016,43541.818
1.6710937,0.49016102,5.0744558,39707.893
1.7101562,0.51222651,5.3156893,36198.99
1.7492187,0.53272739,5.5765185,32986.86
1.7882812,0.55179323,5.8587226,30046.105
1.8273437,0.56954021,6.1642593,27353.821
1.8664062,0.58607271,6.4952826,24889.294
1.9054687,0.60148482,6.8541616,22633.74
1.9445312,0.61586158,7.2435008,20570.074
1.9835937,0.62928012,7.6661619,18682.723
2.0226562,0.64181057,8.1252867,16957.46
2.0617187,0.65351687,8.6243205,15381.253
2.1007812,0.66445748,9.1670375,13942.149
2.1398437,0.67468592,9.7575649,12629.157
2.1789062,0.68425132,10.400408,11432.16
2.2179687,0.69319888,11.100475,10341.829
2.2570312,0.70157029,11.863098,9349.5506
2.2960937,0.70940416,12.694051,8447.3653
2.3351562,0.71673637,13.599568,7627.911
