halo_mass_Msun time_Myr shock_radius_over_R200 gamma_eff status
1e+12 800 0.851512 1.6575437 supported
1e+12 1000 0.851512 1.6614161 supported
1e+12 1200 0.851512 1.6629216 supported
1e+12 1400 0.851512 1.6637528 supported
1e+12 1600 0.86036943 1.6606246 supported
1e+12 1800 0.86036943 1.6619012 supported
1e+12 2000 0.86036943 1.6627832 supported
3e+11 800 0.86036943 1.4607872 supported
3e+11 1000 0.86036943 1.5407858 supported
3e+11 1200 0.86036943 1.5795308 supported
3e+11 1400 0.86036943 1.6041832 supported
3e+11 1600 0.86036943 1.6183892 supported
3e+11 1800 0.87836166 1.4165447 unstable
3e+11 2000 0.87836166 1.4589414 supported
1e+11 800 0.86036943 -0.1657721 unstable
1e+11 1000 0.869319 -0.13036136 unstable
1e+11 1200 0.869319 0.55668371 unstable
1e+11 1400 0.88749838 -2.0269609 unstable
1e+11 1600 0.88749838 -1.109241 unstable
1e+11 1800 0.88749838 -0.36242908 unstable
1e+11 2000 0.88749838 0.14117713 unstable
