time_Myr shock_radius_kpc shock_radius_over_R200 density_ratio temperature_ratio velocity_inner_km_s velocity_outer_km_s
800 82.376305 0.86036943 2.4796984 3.5449339 -35.150523 -91.147264
850 82.376305 0.86036943 2.4887917 3.5660898 -29.599591 -88.200715
900 82.376305 0.86036943 2.5010267 3.5660898 -25.258362 -85.71603
950 83.233184 0.869319 2.8261085 3.7380611 -30.80101 -94.106891
1000 83.233184 0.869319 2.9755665 3.7380611 -26.938083 -93.168745
1050 83.233184 0.869319 3.0846029 3.7380611 -23.612551 -92.015906
1100 83.233184 0.869319 3.1538964 3.7380611 -20.775826 -90.636498
1150 83.233184 0.869319 3.1856314 3.7380611 -18.353963 -89.035576
1200 83.233184 0.869319 3.1446677 3.7380611 -16.292267 -87.231894
1250 83.233184 0.869319 3.0522268 3.7380611 -14.541074 -85.254426
1300 83.233184 0.869319 2.9461491 3.7380611 -13.050282 -83.137037
1350 84.973773 0.88749838 4.0178672 1.936271 -35.470345 -100.94206
1400 84.973773 0.88749838 4.2626524 1.936271 -32.770663 -100.92304
1450 84.973773 0.88749838 4.496644 1.936271 -30.273734 -100.82478
1500 84.973773 0.88749838 4.7167796 1.936271 -27.971833 -100.64382
1550 84.973773 0.88749838 4.9207826 1.936271 -25.851949 -100.37789
1600 84.973773 0.88749838 5.1064775 1.936271 -23.904602 -100.02647
1650 84.973773 0.88749838 5.2725569 1.936271 -22.116594 -99.589702
1700 84.973773 0.88749838 5.41781 1.936271 -20.479464 -99.070081
1750 84.973773 0.88749838 5.541742 1.936271 -18.982912 -98.471184
1800 84.973773 0.88749838 5.6441772 1.936271 -17.619242 -97.798968
1850 84.973773 0.88749838 5.7255194 1.936271 -16.380622 -97.060698
1900 84.973773 0.88749838 5.786634 1.936271 -15.255022 -96.265107
1950 84.973773 0.88749838 5.7950767 1.936271 -14.220937 -95.420721
2000 84.973773 0.88749838 5.7260214 1.936271 -13.289853 -94.5357
2050 84.973773 0.88749838 5.6480581 1.936271 -12.457686 -93.619529
2100 84.973773 0.88749838 5.5643411 1.936271 -11.717521 -92.683513
2150 84.973773 0.88749838 5.4773637 1.936271 -11.060755 -91.737816
2200 84.973773 0.88749838 5.3889979 1.936271 -10.47822 -90.791242
2250 84.973773 0.88749838 5.3007394 1.936271 -9.9617268 -89.852789
2300 84.973773 0.88749838 5.2136069 1.936271 -9.5031203 -88.929391
2350 84.973773 0.88749838 5.1283713 1.936271 -9.0954459 -88.027339
2400 84.973773 0.88749838 5.0456312 1.936271 -8.7329396 -87.152303
2450 84.973773 0.88749838 4.9658042 1.936271 -8.4106698 -86.308629
2500 84.973773 0.88749838 4.88923 1.936271 -8.1247152 -85.500098
2550 84.973773 0.88749838 4.8161211 1.936271 -7.871718 -84.729189
2600 84.973773 0.88749838 4.7467603 1.936271 -7.6493436 -83.999019
2650 84.973773 0.88749838 4.7346587 1.936271 -7.4553342 -83.31101
2700 84.973773 0.88749838 4.7264949 1.936271 -7.2880364 -82.667125
2750 84.973773 0.88749838 4.7173049 1.936271 -7.1456344 -82.067603
2800 84.973773 0.88749838 4.7074874 1.936271 -7.0267573 -81.513772
2850 84.973773 0.88749838 4.6973686 1.936271 -6.929753 -81.005327
2900 84.973773 0.88749838 4.6872467 1.936271 -6.8532266 -80.542965
2950 84.973773 0.88749838 4.6773524 1.936271 -6.7956296 -80.126259
3000 84.973773 0.88749838 4.6678903 1.936271 -6.7556003 -79.755416
3050 84.973773 0.88749838 4.6590214 1.936271 -6.7318413 -79.430233
3100 84.973773 0.88749838 4.6508839 1.936271 -6.7232323 -79.15065
3150 84.973773 0.88749838 4.6436022 1.936271 -6.7288139 -78.916751
3200 84.973773 0.88749838 4.6372746 1.936271 -6.7477876 -78.728197
3250 84.973773 0.88749838 4.6319957 1.936271 -6.7794941 -78.584821
3300 84.973773 0.88749838 4.62785 1.936271 -6.8233417 -78.486351
3350 84.973773 0.88749838 4.6249072 1.936271 -6.8787876 -78.432289
3400 84.973773 0.88749838 4.6232218 1.936271 -6.9453158 -78.421983
3450 84.973773 0.88749838 4.6228325 1.936271 -7.0223336 -78.454616
3500 84.973773 0.88749838 4.6237562 1.936271 -7.1092609 -78.529184
3550 84.973773 0.88749838 4.6259898 1.936271 -7.2055137 -78.644572
3600 84.973773 0.88749838 4.6295088 1.936271 -7.3104731 -78.799498
3650 84.973773 0.88749838 4.6342661 1.936271 -7.4235041 -78.992478
3700 84.973773 0.88749838 4.6402025 1.936271 -7.5441547 -79.222151
3750 84.973773 0.88749838 4.6472428 1.936271 -7.6719918 -79.487017
3800 84.973773 0.88749838 4.6552965 1.936271 -7.8066034 -79.785366
3850 84.973773 0.88749838 4.6642734 1.936271 -7.947812 -80.115763
3900 84.973773 0.88749838 4.6740743 1.936271 -8.0954555 -80.476602
3950 84.973773 0.88749838 4.6845997 1.936271 -8.2494881 -80.866375
4000 84.973773 0.88749838 4.6957426 1.936271 -8.4098268 -81.283335
