time_Myr shock_radius_over_R200 shock_speed_km_s mach_number postshock_pressure_erg_cm3 analytic_postshock_pressure_erg_cm3 ram_pressure_erg_cm3 postshock_to_ram_pressure analytic_postshock_to_ram_pressure postshock_temperature_K analytic_postshock_temperature_K cooling_time_Myr analytic_cooling_time_Myr gamma_eff gamma_eff_analytic gamma_critical
800 0.86036943 0 3.1529098 2.8972742e-14 1.7901149e-14 2.4358263e-14 1.1894421 0.73491073 196105.98 157594.09 92.273974 87.174533 -0.1657721 -0.27296411 1.4285714
850 0.86036943 0 3.1637053 2.8959477e-14 1.8250606e-14 2.4830299e-14 1.166296 0.73501353 196175.24 155418.81 92.396638 82.411752 0.27831512 0.1101045 1.4285714
900 0.86036943 8.3784934 3.4226511 2.8816142e-14 2.2102292e-14 2.9981592e-14 0.96112782 0.7371954 196175.24 176316.37 92.86336 93.38737 0.51569235 0.52215063 1.4285714
950 0.869319 8.3784934 3.6012061 2.7940684e-14 2.1427791e-14 2.9017895e-14 0.9628777 0.73843368 196175.24 184168.48 95.818768 107.44102 -0.38094209 -0.15944538 1.4285714
1000 0.869319 0 3.320528 2.8174726e-14 1.8383747e-14 2.4964496e-14 1.1285918 0.73639568 196175.24 161315.76 95.010551 90.162176 -0.13042086 -0.22705732 1.4285714
1050 0.869319 0 3.3204618 2.8456103e-14 1.8652836e-14 2.5329929e-14 1.1234182 0.73639513 196175.24 161310.58 94.056608 88.821197 0.086522564 -0.0066162798 1.4285714
1100 0.869319 0 3.3167429 2.9071571e-14 1.8931939e-14 2.5710007e-14 1.1307492 0.73636461 196175.24 161020.02 92.034877 87.073153 0.2573607 0.17705367 1.4285714
1150 0.869319 0 3.308706 2.9341677e-14 1.9215831e-14 2.6097889e-14 1.1242931 0.73629829 196175.24 160393.18 91.174602 84.889903 0.41910328 0.32674178 1.4285714
1200 0.869319 0 3.2958821 2.9564448e-14 1.9501593e-14 2.6489839e-14 1.1160675 0.73619145 196175.24 159396.06 90.477005 82.26718 0.55672827 0.44596235 1.4285714
1250 0.869319 0 3.277989 2.9787106e-14 1.9785924e-14 2.6881577e-14 1.1080863 0.73604029 196175.24 158011.12 89.790272 79.229787 0.67119307 0.53850706 1.4285714
1300 0.869319 17.019353 3.830616 3.000615e-14 2.7938696e-14 3.7766346e-14 0.79452086 0.73977757 196175.24 204202.61 89.12471 105.69316 0.76604156 0.90722348 1.4285714
1350 0.88749838 17.019353 4.0336701 3.0184914e-14 2.4578178e-14 3.3178743e-14 0.90976663 0.74078086 188545.86 222955.01 80.396074 149.657 -2.2516809 -0.43827839 1.4285714
1400 0.88749838 0 3.4682447 3.0505519e-14 1.8103748e-14 2.4546461e-14 1.2427665 0.73752985 188545.86 173115.63 79.537603 109.39382 -2.0270375 -1.0189363 1.4285714
1450 0.88749838 0 3.4774842 3.0799018e-14 1.8227273e-14 2.471173e-14 1.2463319 0.73759602 188545.86 173870.46 78.767512 109.81929 -1.7945245 -0.81586092 1.4285714
1500 0.88749838 0 3.4856592 3.1067393e-14 1.8353795e-14 2.4881302e-14 1.2486241 0.73765414 188545.86 174539.97 78.076181 110.09383 -1.5604317 -0.62192232 1.4285714
1550 0.88749838 0 3.4927251 3.1313536e-14 1.8484189e-14 2.5056374e-14 1.2497233 0.73770404 188545.86 175119.89 77.452622 110.20612 -1.3303737 -0.43964672 1.4285714
1600 0.88749838 0 3.4986232 3.1539353e-14 1.8618862e-14 2.5237514e-14 1.2497013 0.73774546 188545.86 175604.86 76.889185 110.14667 -1.1092129 -0.2710689 1.4285714
1650 0.88749838 0 3.5033102 3.1746657e-14 1.875833e-14 2.5425432e-14 1.2486182 0.73777823 188545.86 175990.82 76.379056 109.90805 -0.90004877 -0.11703622 1.4285714
1700 0.88749838 0 3.5067385 3.1936473e-14 1.8902731e-14 2.5620326e-14 1.2465287 0.73780212 188545.86 176273.45 75.917815 109.48545 -0.70524559 0.021969676 1.4285714
1750 0.88749838 0 3.5088802 3.2110022e-14 1.9052415e-14 2.5822683e-14 1.2434812 0.737817 188545.86 176450.15 75.500912 108.87626 -0.52586915 0.14623928 1.4285714
1800 0.88749838 0 3.5097195 3.2268335e-14 1.9207504e-14 2.6032678e-14 1.2395319 0.73782283 188545.86 176519.43 75.124553 108.08167 -0.36242113 0.2563043 1.4285714
1850 0.88749838 0 3.5092573 3.2412652e-14 1.9367927e-14 2.6250219e-14 1.2347574 0.73781962 188545.86 176481.27 74.784697 107.10693 -0.21471216 0.35304163 1.4285714
1900 0.88749838 0 3.507506 3.2544351e-14 1.953304e-14 2.6474441e-14 1.2292743 0.73780745 188545.86 176336.76 74.477208 105.96266 -0.082184122 0.43746461 1.4285714
1950 0.88749838 0 3.5044825 3.2666327e-14 1.9701552e-14 2.6703598e-14 1.2232931 0.73778641 188545.86 176087.44 74.194648 104.66384 0.036067882 0.51075927 1.4285714
2000 0.88749838 0 3.5001981 3.2781147e-14 1.9871506e-14 2.6935047e-14 1.2170444 0.73775649 188545.86 175734.49 73.930603 103.2282 0.14117251 0.57412898 1.4285714
2050 0.88749838 0 3.494689 3.2888089e-14 2.0040698e-14 2.7165803e-14 1.210643 0.73771786 188545.86 175281.28 73.686346 101.67721 0.23437994 0.62867619 1.4285714
2100 0.88749838 0 3.4880396 3.2987357e-14 2.0206643e-14 2.7392488e-14 1.2042483 0.73767098 188545.86 174735.21 73.461046 100.04317 0.31676235 0.67544077 1.4285714
2150 0.88749838 0 3.4803627 3.3080303e-14 2.0367328e-14 2.7612352e-14 1.1980255 0.73761653 188545.86 174106.03 73.25133 98.350725 0.38944789 0.71539789 1.4285714
2200 0.88749838 0 3.4717901 3.3168143e-14 2.052143e-14 2.7823581e-14 1.1920875 0.7375553 188545.86 173405.04 73.054223 96.621423 0.4535745 0.74946318 1.4285714
2250 0.88749838 0 3.4624797 3.325132e-14 2.06681e-14 2.8024988e-14 1.1864883 0.73748829 188545.86 172645.65 72.868549 94.878544 0.51014687 0.77843719 1.4285714
2300 0.88749838 0 3.4525882 3.3329767e-14 2.0807216e-14 2.8216369e-14 1.181221 0.73741649 188545.86 171841.06 72.694288 93.140433 0.56015642 0.80305704 1.4285714
2350 0.88749838 0 3.4422758 3.3403024e-14 2.093901e-14 2.8398001e-14 1.1762456 0.73734098 188545.86 171004.65 72.532303 91.423157 0.60446394 0.8239479 1.4285714
2400 0.88749838 0 3.4317015 3.3470497e-14 2.1063931e-14 2.857045e-14 1.1715075 0.73726285 188545.86 170149.54 72.383737 89.740749 0.64380447 0.84163914 1.4285714
2450 0.88749838 0 3.4210098 3.3531711e-14 2.1182611e-14 2.8734531e-14 1.1669483 0.73718311 188545.86 169287.57 72.249475 88.104158 0.67882855 0.85659382 1.4285714
2500 0.88749838 0 3.4103363 3.3586351e-14 2.1295676e-14 2.8891054e-14 1.1625173 0.73710276 188545.86 168429.7 72.130049 86.52282 0.71007882 0.86920388 1.4285714
