time_proper_Myr central_rho_proper_cgs_g_cm3 central_temperature_proper_cgs_K minimum_temperature_proper_cgs_K atmosphere_mass_proper_Msun force_residual_max_dimensionless temperature_floor_proper_cgs_K temperature_floor_reached
0 2.5177654e-26 7997.8053 7997.8053 39440088 0.23673013 100 False
1 2.5199807e-26 8353.323 7596.7392 39438215 0.35624525 100 False
10 2.5336975e-26 8937.3839 7765.9402 39426491 0.5262776 100 False
25 2.5152322e-26 8939.0621 7879.9184 39419017 0.49978971 100 False
50 2.3838845e-26 8964.9941 7861.9088 39414749 0.48363085 100 False
100 2.0556612e-26 9055.0807 7710.9188 39407733 0.63786707 100 False
500 1.371608e-26 9291.2935 8025.5169 38990851 2.4513439 100 False
1000 8.160111e-27 9626.5481 8523.3613 32519823 8.8550043 100 False
2000 2.9365424e-27 10405.523 9505.9924 17934785 32.978422 100 False
3000 1.1518546e-27 11541.567 9429.7603 10719043 54.460737 100 False
4000 5.2380777e-28 13356.046 9336.9838 7393268.3 2.5024453 100 False
5000 2.7375216e-28 15476.092 9722.0238 5737862.3 1.8428171 100 False
