time_Myr central_density_cgs_g_cm3 central_temperature_cgs_K minimum_temperature_cgs_K atmosphere_mass_Msun max_abs_force_residual temperature_floor_cgs_K floor_reached
0 2.4049087e-26 5000.1703 5000.1703 19168372 0.2390833 100 False
1 2.4071102e-26 6587.4205 5001.5209 19167443 0.54787495 100 False
10 2.4318093e-26 8947.9296 5013.7209 19159744 1.0322171 100 False
25 2.4023224e-26 8941.4593 5034.0908 19152859 1.206694 100 False
50 2.0418049e-26 8990.0694 5068.1065 19145572 1.4286315 100 False
100 1.2531789e-26 9225.5094 5136.302 19133957 1.9001593 100 False
500 1.8920328e-27 10559.964 5689.6421 18742637 18.19403 100 False
1000 4.4946865e-28 12156.729 6409.0188 8897303.4 67.222207 100 False
2000 8.6282808e-29 15279.868 6697.3522 2940849.9 134.46145 100 False
3000 4.1035396e-29 16536.834 6565.8263 1763860.6 195.83509 100 False
4000 2.8088248e-29 17214.619 6903.0544 1367751.2 3.3476976 100 False
5000 2.263139e-29 17893.689 7966.3053 1185890.3 2.7640555 100 False
