time_Myr shock_radius_kpc
0 4.8037109
1.0526316 10.444336
2.1052632 10.407227
3.1578947 10.370117
4.2105263 10.370117
5.2631579 10.333008
6.3157895 10.333008
7.3684211 10.295898
8.4210526 10.295898
9.4736842 10.258789
10.526316 10.258789
11.578947 10.258789
12.631579 10.22168
13.684211 10.22168
14.736842 10.22168
15.789474 10.18457
16.842105 10.18457
17.894737 10.18457
18.947368 10.18457
20 10.18457

final_cooling_diagnostics
cooling_time_Myr 2.0616227
cooling_length_kpc 0.077446851
cooling_cells 2.0869888
