time_Myr shock_radius_kpc
0 4.8037109
0.02 10.444336
0.04 10.444336
0.06 10.444336
0.08 10.444336
0.1 10.444336
0.12 10.444336
0.14 10.444336
0.16 10.444336
0.18 10.444336
0.2 10.444336
0.22 10.444336
0.24 10.444336
0.26 10.444336
0.28 10.444336
0.3 10.444336
0.32 10.444336
0.34 10.444336
0.36 10.444336
0.38 10.444336
0.4 10.444336
0.42 10.444336
0.44 10.444336
0.46 10.444336
0.48 10.444336
0.5 10.444336
0.52 10.444336
0.54 10.444336
0.56 10.444336
0.58 10.444336
0.6 10.407227
0.62 10.407227
0.64 10.407227
0.66 10.407227
0.68 10.407227
0.7 10.407227
0.72 10.407227
0.74 10.407227
0.76 10.407227
0.78 10.407227
0.8 10.407227
0.82 10.407227
0.84 10.407227
0.86 10.407227
0.88 10.407227
0.9 10.407227
0.92 10.407227
0.94 10.407227
0.96 10.407227
0.98 10.407227
1 10.407227
1.02 10.407227
1.04 10.407227
1.06 10.407227
1.08 10.407227
1.1 10.407227
1.12 10.407227
1.14 10.407227
1.16 10.407227
1.18 10.407227
1.2 10.407227
1.22 10.407227
1.24 10.407227
1.26 10.407227
1.28 10.407227
1.3 10.407227
1.32 10.407227
1.34 10.407227
1.36 10.407227
1.38 10.407227
1.4 10.407227
1.42 10.407227
1.44 10.407227
1.46 10.407227
1.48 10.407227
1.5 10.407227
1.52 10.407227
1.54 10.407227
1.56 10.407227
1.58 10.407227
1.6 10.407227
1.62 10.407227
1.64 10.407227
1.66 10.407227
1.68 10.370117
1.7 10.370117
1.72 10.370117
1.74 10.370117
1.76 10.370117
1.78 10.370117
1.8 10.370117
1.82 10.370117
1.84 10.370117
1.86 10.370117
1.88 10.370117
1.9 10.370117
1.92 10.370117
1.94 10.370117
1.96 10.370117
1.98 10.370117
2 10.370117
2.02 10.258789
2.04 10.370117
2.06 10.370117
2.08 10.370117
2.1 10.370117
2.12 10.370117
2.14 10.370117
2.16 10.370117
2.18 10.370117
2.2 10.370117
2.22 10.370117
2.24 10.370117
2.26 10.370117
2.28 10.370117
2.3 10.370117
2.32 10.370117
2.34 10.370117
2.36 10.370117
2.38 10.370117
2.4 10.370117
2.42 10.370117
2.44 10.370117
2.46 10.370117
2.48 10.370117
2.5 10.370117
2.52 10.370117
2.54 10.370117
2.56 10.370117
2.58 10.370117
2.6 10.370117
2.62 10.370117
2.64 10.370117
2.66 10.370117
2.68 10.370117
2.7 10.370117
2.72 10.407227
2.74 10.407227
2.76 10.407227
2.78 10.407227
2.8 10.407227
2.82 10.407227
2.84 10.407227
2.86 10.407227
2.88 10.407227
2.9 10.407227
2.92 10.407227
2.94 10.407227
2.96 10.407227
2.98 10.407227
3 10.407227
3.02 10.407227
3.04 10.407227
3.06 10.407227
3.08 10.407227
3.1 10.407227
3.12 10.407227
3.14 10.407227
3.16 10.407227
3.18 10.407227
3.2 10.407227
3.22 10.407227
3.24 10.407227
3.26 10.407227
3.28 10.407227
3.3 10.407227
3.32 10.407227
3.34 10.407227
3.36 10.407227
3.38 10.407227
3.4 10.407227
3.42 10.407227
3.44 10.407227
3.46 10.407227
3.48 10.407227
3.5 10.407227
3.52 10.407227
3.54 10.407227
3.56 10.407227
3.58 10.407227
3.6 10.407227
3.62 10.407227
3.64 10.407227
3.66 10.407227
3.68 10.407227
3.7 10.407227
3.72 10.407227
3.74 10.407227
3.76 10.407227
3.78 10.407227
3.8 10.407227
3.82 10.407227
3.84 10.407227
3.86 10.407227
3.88 10.407227
3.9 10.407227
3.92 10.407227
3.94 10.407227
3.96 10.407227
3.98 10.407227
4 10.407227
4.02 10.407227
4.04 10.407227
4.06 10.407227
4.08 10.407227
4.1 10.407227
4.12 10.407227
4.14 10.407227
4.16 10.407227
4.18 10.407227
4.2 10.407227
4.22 10.407227
4.24 10.407227
4.26 10.407227
4.28 10.407227
4.3 10.407227
4.32 10.407227
4.34 10.407227
4.36 10.407227
